Factor,Question
downregulation,I would support my partner and encourage them to do something to help them minimize negative emotions and feel good.
downregulation,I would support my partner and encourage them to engage in activities to help them overcome bad feelings and feel good.
downregulation,I would support my partner and encourage them to think about things to help them reduce negative feelings and feel better.
savoring,I would be happy for my partner and encourage them to engage in activities to help maintain their good feelings.
savoring,I would be happy for my partner and encourage them to think about things to help them feel even better.
dampening,I would be happy for my partner but also encourage them to engage in activities to make them feel less elated - to feel more composed.
dampening,I would be happy for my partner but also encourage them to think about things to make them calm down - to feel a little less excited.
dampening,I would be happy for my partner but also encourage them to engage in other activities so that they will not dwell too much on their current feelings.
maintenance,I would support my partner and encourage them to understand that it is natural to feel negative emotions sometimes.
maintenance,I would support my partner and encourage them to accept their current feelings rather than change their mood too much.
